name,country_code,genres,spotify_followers,spotify_monthly_listeners,facebook_likes,facebook_talks,twitter_followers,twitter_retweets,youtube_channel_views,youtube_daily_video_views,youtube_monthly_video_views,TikTok_followers,TikTok_Genz_followers,TikTok_Genz_followers_percentage,TikTok_avg_engagements_per_post,TikTok_number_of_top_tracks,TikTok_total_creations_for_top_n_tracks,TikTok_avg_creations_for_top_n_tracks,TikTok_total_views_for_top_n_tracks,TikTok_avg_views_for_top_n_tracks,Instagram_followers,Instagram_Genz_followers,Instagram_Genz_followers_percentage,Instagram_avg_engagements_per_post,artist_id,Youtube_subscribers,Youtube_Genz_subscribers,Youtube_Genz_subscribers_percentage,Youtube_avg_engagements_per_post
Nicki Minaj,US,"rap, pop, hip pop, queens hip hop, hip-hop/rap, r&b/soul, insights_high_priority_artists, sony_high_priority_artists",28526225,51560747,48556360,136604,27805196,120535,10180818488,7952558,145797613,17700000,13246680,74.84,230602,10,10954900,1095490,10273857413,1027385741,222784295,97000282.04,43.54,1072277,3442,25600000,18114560,70.76,240035
Beyoncé,US,"r&b, pop, dance, r&b/soul, contemporary r&b, insights_high_priority_artists, sony_high_priority_artists",34985735,53680148,57306202,9406,15412248,0,17317531550,6458935,174013115,4800000,2917440,60.78,823110,10,17415900,1741590,19280287734,1928028773,312709605,125865616,40.25,2618687,2838,26000000,17199000,66.15,92451
Coldplay,GB,"pop, permanent wave, rock, alternative, insights_high_priority_artists, sony_high_priority_artists",45181371,68957008,40971481,62218,23537142,,17218008244,9231172,266626797,5600000,3367840,60.14,200864,10,5063318,506332,8832545474,883254547,23600456,9789469.15,41.48,431837,439,25200000,15765120,62.56,21839
Bruno Mars,US,"pop, dance pop, rock, r&b/soul, dance, insights_high_priority_artists, sony_high_priority_artists",48935969,61250381,53711603,13699,42631096,,19275157035,7935107,200258471,7900000,6037180,76.42,800372,10,10708500,1070850,7066361932,706636193,28406578,12402311.95,43.66,1003823,3501,36600000,23822940,65.09,161411
BTS,KR,"pop, dance pop, k-pop, k-pop boy group, hip-hop/rap, insights_high_priority_artists, sony_high_priority_artists",66445893,40243893,21290263,344968,48482304,0,20697074660,13958250,430928714,60400000,48350200,80.05,1837500,10,13583500,1358350,24171582705,2417158270,73604509,49116288.86,66.73,2446285,206557,75400000,56617860,75.09,297846
Adele,GB,"pop, uk pop, pop soul, british soul, rock, r&b/soul, latin, worldwide, christian, soul, insights_high_priority_artists, sony_high_priority_artists",49357994,52284704,70264959,117551,27422855,,14118515142,7492785,208106038,,,,,10,2708500,270850,11317667015,1131766702,53593241,22155445.83,41.34,2737364,3079,30100000,18520530,61.53,510901
Calvin Harris,GB,"pop, edm, house, dance pop, electro house, progressive house, uk dance, dance, electronic, insights_high_priority_artists, sony_high_priority_artists",23448553,66995007,14822707,2827,11655756,,15957909262,4390821,121815967,1200000,781440,65.12,255287,10,14582000,1458200,4835339867,483533987,11005819,4966926.11,45.13,99727,2134,19000000,12878200,67.78,96727
Future,US,"rap, hip hop, southern hip hop, dirty south rap, anti-folk, pop rap, gangster rap, trap music, trap, atl hip hop, dance, pop, hip-hop/rap, electronic, reggae, spoken word, hip-hop, hardcore rap, insights_high_priority_artists, sony_high_priority_artists",14161064,52570298,10356968,3578,7680513,9816,9874656267,6045279,166625953,196500,126683.55,64.47,78150,10,34114200,3411420,6556315294,655631529,24294196,9465018.76,38.96,685451,3870,12700000,8098790,63.77,13557
Kanye West,US,"rap, hip hop, chicago rap, hip-hop/rap, insights_high_priority_artists, sony_high_priority_artists",20389544,56505358,,,,,6425245062,4028316,112209538,2100000,876750,41.75,617059,10,2721900,272190,6573925953,657392595,18248104,8054713.11,44.14,0,1845,9310000,5695858,61.18,194517
Imagine Dragons,US,"rock, pop, modern rock, alternative, adult alternative, insights_high_priority_artists, sony_high_priority_artists",48553836,60925278,14989319,23065,5588545,,16689871269,8405998,237781076,2400000,1422000,59.25,150193,10,9649100,964910,11670430858,1167043086,6481835,3518340.04,54.28,148603,4132,30600000,20599920,67.32,82422
