name,country_code,genres,spotify_followers,spotify_monthly_listeners,facebook_likes,facebook_talks,twitter_followers,twitter_retweets,youtube_channel_views,youtube_daily_video_views,youtube_monthly_video_views,TikTok_followers,TikTok_Genz_followers,TikTok_Genz_followers_percentage,TikTok_avg_engagements_per_post,TikTok_number_of_top_tracks,TikTok_total_creations_for_top_n_tracks,TikTok_avg_creations_for_top_n_tracks,TikTok_total_views_for_top_n_tracks,TikTok_avg_views_for_top_n_tracks,Instagram_followers,Instagram_Genz_followers,Instagram_Genz_followers_percentage,Instagram_avg_engagements_per_post,artist_id,Youtube_subscribers,Youtube_Genz_subscribers,Youtube_Genz_subscribers_percentage,Youtube_avg_engagements_per_post
BoyWithUke,US,"sad rap, pop, alternative, hip-hop/rap",3443115,8218244,,,41286,,708687137,,,,,,,10,884244,88424,3034585735,303458574,209,101.93,48.77,0,4214303,3710000,2313556,62.36,30530
Eden Prince,GB,"dance pop, deep groove house, uk dance, dance, pop, house",19771,1520187,2901,2,1453,,1292027,,,,,,,10,2482,248,19657840,1965784,11446,4380.38,38.27,800,195389,1870,761.46,40.72,528
Raim Laode,ID,"pop, vocal, alternative",342043,8245678,,,,,,,,,,,,10,2415023,241502,2366057413,236605741,,,,,,,,,
La Santa Grifa,MX,"mexican hip hop, tamaulipas rap, hip-hop/rap, latin, sad sierreno",4083377,4631206,1245818,196,,,3055541163,2196569,63754431,62900,53622.25,85.25,5077,10,602800,60280,563867548,56386755,1433952,935223.49,65.22,58700,119445,6440000,5014184,77.86,30648
Naim Darrechi,ES,"latin viral pop, pop, hip-hop/rap, rock",387479,62541,2986309,12565,,,201974798,,,30500000,25955500,85.1,471818,10,67716,6772,194858701,19485870,6523751,4859542.12,74.49,294257,1706545,3830000,3081235,80.45,7979
GloRilla,US,"rap, hip-hop/rap, new age",293067,5226863,235805,134027,1220527,,309137077,1290849,29120842,1500000,1017300,67.82,85176,10,428319,42832,755959306,75595931,3650318,1252789.14,34.32,343792,4023387,726000,436035.6,60.06,21934
ODESZA,US,"edm, indietronica, chillwave, rock, dance, electronic, house",1499461,6683090,535810,8919,220810,,436293753,204963,5850742,162800,94993.8,58.35,4863,10,502775,50278,2013600567,201360057,642070,242124.6,37.71,26052,4369,738000,459774,62.3,1170
Walk off the Earth,CA,"pop rock, canadian rock, rock, pop, holiday, insights_high_priority_artists",701096,5780790,3684857,13400,173263,,1560682527,315529,9825761,3100000,1489860,48.06,113660,10,320576,32058,607712347,60771235,1309068,450057.58,34.38,378751,4133,5690000,3059513,53.77,96140
The Kinks,GB,"rock, album rock, classic rock, glam rock, british invasion, protopunk, psychedelic rock, art rock, mellow gold, folk rock, pop",2412929,7230347,1273946,15329,44804,,192205910,144851,3763752,12200,5274.06,43.23,2444,10,20798,2080,29391956,2939196,124085,36021.88,29.03,5439,148,230000,82915,36.05,112
Stevie Nicks,US,"heartland rock, rock, pop, pop/rock, singer/songwriter, insights_high_priority_artists",1269109,5658431,3591736,5955,429093,,325849527,286957,7274750,1600000,883040,55.19,4688700,10,124318,12432,318204370,31820437,1377643,513034.25,37.24,90786,497,527000,155306.9,29.47,2240
Finesse2tymes,US,"trap, hip-hop/rap",126405,1079929,346371,1138,24129,,355843515,,,748600,264704.96,35.36,129857,10,513845,51384,928692805,92869280,993883,276597.64,27.83,39983,5367331,609000,285072.9,46.81,29795
Hugo & Guilherme,BR,"sertanejo universitario, sertanejo pop, country, brazilian, arrocha, sertanejo, pop",1150119,9325423,1234657,13704,421,,2573541022,,,694300,373602.83,53.81,18504,10,120146,12015,236113804,23611380,1483338,413999.64,27.91,45887,90282,2049999,1207449.41,58.9,9813
NATTAN,BR,"forro, pop, brazilian, latin, latin pop",1737641,8503456,264826,21806,17308,,1153979785,2967878,65293114,2300000,1498220,65.14,39141,10,815925,81592,934867011,93486701,5939201,2074562.91,34.93,168355,1580072,1780000,1069602,60.09,5206
deadmau5,CA,"edm, electro house, progressive house, complextro, pop dance, canadian electronic, dance, electronic, house, insights_high_priority_artists",2810565,6018224,7777181,4267,3306936,,323233073,291773,8290800,88800,44639.76,50.27,1333,10,50344,5034,272868779,27286878,2857928,1188898.05,41.6,9495,2975,1790000,1052341,58.79,1540
Emeli Sandé,GB,"r&b, talent show, pop, rock, r&b/soul, insights_high_priority_artists",2269141,3298885,1450305,685,982577,,517625737,140042,3840240,10900,4173.61,38.29,450,10,12648,1265,31698489,3169849,402022,126717.33,31.52,2599,3569,1000000,571600,57.16,1295
Philly Goats,,"jersey club, hip-hop/rap",6106,195892,,,,,10970894,,,261300,207811.89,79.53,56985,3,1800236,600079,284614142,94871381,22249,9840.73,44.23,1639,7641533,32800,24012.88,73.21,5582
Jenni Rivera,US,"banda, mariachi, ranchera, latin, latino, latin pop, musica mexicana, soundtracks, regional mexicano femenil",4203942,4184216,6871791,22644,1912969,,120294016,2349604,53910712,2400000,1602720,66.78,19502,10,975400,97540,1358172561,135817256,2196454,707477.83,32.21,39317,208104,1455898,821272.06,56.41,66014
Hrithik Roshan,IN,"filmi, soundtrack, indian, bollywood, indian pop, soundtracks",321731,1069653,29501516,182881,32225939,,,,,,,,,10,1129789,112979,346264372,34626437,45382513,17127360.41,37.74,815577,,,,,
reidenshi,,"hip-hop/rap, electronic, easy listening",21376,5539376,,,,,,,,,,,,10,1501405,150140,5383149742,538314974,,,,,,,,,
Camila Loures,BR,"pop, brazilian, funk bh, latin, latin pop",281297,20704,,,,,4664808995,,,15500000,12305450,79.39,147631,8,66787,8348,52386288,6548286,19022085,12539358.43,65.92,313460,233749,14600000,11024460,75.51,34206
BAEKHYUN,KR,"k-pop, pop, soundtrack, soundtracks",2606551,2596620,,,7839836,,49397790,305619,10077913,,,,,10,89244,8924,382570961,38257096,21893353,14232868.79,65.01,1972368,313116,3690000,3042405,82.45,188530
Guilherme & Benuto,BR,"sertanejo universitario, brazilian, arrocha, sertanejo, electronic, latin, latin pop, agronejo",570369,10541897,12504,4,8823,,1894674105,,,744800,340597.04,45.73,9219,10,161102,16110,304667045,30466704,1245111,386606.97,31.05,12528,1423874,1770000,1053858,59.54,1322
Melendi,ES,"spanish pop, spanish pop rock, pop, latino, pop latino, latin, latin pop, sony_high_priority_artists",3507763,6820216,3772001,1969,1692877,,4063442873,2036845,51896742,162200,97887.7,60.35,61940,10,329600,32960,338321011,33832101,1737997,619422.13,35.64,70469,2005,4540000,2736712,60.28,47489
Gazo,,"french hip hop, pop urbaine, rap francais, drill francais, hip-hop/rap, pop, dance, r&b francais",1557127,5860770,,,228242,,577210150,,,478000,349513.6,73.12,170638,10,1005200,100520,1226396032,122639603,1368039,782107.9,57.17,183952,3647464,1150000,768545,66.83,49646
Mc IG,US,"funk carioca, funk ostentacao, funk paulista, brazilian, funk consciente, hip-hop/rap, electronic, funk, funk mtg",1448375,5553908,,,,,86686,2989576,93721196,,,,,10,60789,6079,92738963,9273896,3736028,2128041.55,56.96,297622,183781,357,151.44,42.42,37
Assala Nasri,EG,"arab pop, syrian pop, world, arabic, arabic pop, khaliji, classic arab pop",3262271,731123,20115538,2601,4867923,,2873290659,2500077,64685872,,,,,10,91137,9114,125249634,12524963,11654977,4384602.35,37.62,70707,315647,6130000,3205990,52.3,9432
Armani White,US,"underground hip hop, indie hip hop, hip-hop/rap, pop, dance",460797,7578125,5606,508,14975,,121188996,,,925300,626150.51,67.67,5080,10,5509437,550944,10122056181,1012205618,203238,85441.26,42.04,4685,420432,347000,216805.6,62.48,5899
Waka Flocka Flame,US,"rap, southern hip hop, dirty south rap, trap, atl hip hop, hip-hop/rap, insights_high_priority_artists",2663721,6404330,9569779,11595,1829028,,584003998,303179,7848742,805600,457258.56,56.76,231141,10,1111020,111102,1473662781,147366278,3843732,1229225.49,31.98,86586,3598,826000,508650.8,61.58,3904
Stone Temple Pilots,US,"rock, grunge, alternative metal, nu metal, post-grunge, alternative rock, pop rock, hard rock, alternative, pop, insights_high_priority_artists",3249269,6362599,2254346,526,226328,,446852048,300633,8287539,4103,1708.49,41.64,245,10,17704,1770,63298523,6329852,249977,68168.73,27.27,8139,183,390000,122421,31.39,5028
Vino Nuevo,MX,"latin christian, latin, christian, christian & gospel",,,,,122,,121370,,,,,,,10,10196,1020,8767982,876798,,,,,,,,,
Dean Martin,US,"easy listening, adult standards, lounge, vocal jazz, pop, vocal, jazz",1505150,5141696,1550014,185426,23835,,239296374,205466,5604724,37500,14186.25,37.83,26121,10,584400,58440,3476754597,347675460,95326,29274.61,30.71,14096,245,158000,58317.8,36.91,352
Lama,,"rock, pop",65,14,,,,,,3849164,119414763,,,,,0,0,,0,,,,,,,,,,
Blueface,US,"vapor trap, rap, southern hip hop, underground hip hop, trap music, trap, cali rap, hip-hop/rap, pop",6157696,4939592,1204215,239,834710,,564376334,,,9200000,6791440,73.82,46189,10,898349,89835,961828846,96182885,7072693,4419725.86,62.49,338097,1110871,2110000,1512026,71.66,28679
Gilberto Santa Rosa,PR,"salsa, tropical, latin, latino, salsa puertorriquena, holiday, latin pop",2655544,6487750,3125692,12768,1475715,,1512294348,1271186,28120601,,,,,10,40435,4044,37739808,3773981,1007014,168775.55,16.76,18583,139094,1410000,596853,42.33,3637
Jack,GB,"v-pop, alternative rock, dance, pop, hip-hop/rap, rock",47958,1695,3331,1,6510076,,783162138,,,,,,,10,1161152,116115,314030904,31403090,,,,,237884,6000000,4426800,73.78,245890
Aitch,GB,"uk hip hop, manchester hip hop, hip-hop/rap",1040767,7188443,527295,5003,199318,,350364065,369059,10877886,2382827,1716112.01,72.02,61545,10,614291,61429,1330745772,133074577,2363577,1351966.04,57.2,120921,828207,957000,636022.2,66.46,1937
Olly Murs,GB,"pop, dance pop, talent show, rock, dance, electronic, insights_high_priority_artists",3312179,6534594,4053393,35693,6771207,,1064148921,230242,7298468,2400000,1392240,58.01,37920,10,1737800,173780,2015465243,201546524,4517524,1899618.84,42.05,34348,3559,1970000,1474348,74.84,302
"Tito ""El Bambino""",PR,"reggaeton, latin hip hop, latin, latino, electronic, reggae, latin hip-hop/rap, urbano latino",3671266,7878122,9605323,2689,4128106,,1106063698,703854,19505400,,,,,10,802191,80219,1095777013,109577701,5253466,1975303.22,37.6,110384,209047,2350000,1557110,66.26,4096
The Cars,US,"rock, permanent wave, album rock, classic rock, pop rock, hard rock, art rock, mellow gold, soft rock, new wave, new wave pop, new romantic, power pop, pop, alternative, insights_high_priority_artists",1633339,6252478,1101052,488,13782,,129115318,316669,8716350,,,,,10,46132,4613,100690832,10069083,31560,5595.59,17.73,1764,319,141000,34587.3,24.53,976
Internet Money,US,"viral rap, hip-hop/rap, pop, electronic",721967,9538480,,,147577,,144708506,,,698,461.87,66.17,209,10,3194201,319420,2171543345,217154334,295455,141818.4,48,3731,1146681,500000,346500,69.3,8913
Pentatonix,US,"viral pop, a cappella, pop, holiday, christmas, insights_high_priority_artists, soundtracks, sony_high_priority_artists",3604443,3140649,5178576,9697,874540,,6026284810,478295,13357543,4300000,2816070,65.49,30375,10,197605,19760,141412673,14141267,3051093,1599688.06,52.43,14973,4040,20000000,12752000,63.76,5948
Alessandra,NO,"pop, dance",92715,6023559,,,,,104118698,,,1200000,888480,74.04,136365,8,66736,8342,354111758,44263970,217287,114466.79,52.68,32292,10101869,227000,134520.2,59.26,22952
Lil' Kim,US,"r&b, rap, dance pop, urban contemporary, hip hop, pop rap, hip pop, southern hip hop, east coast hip hop, gangster rap, trap queen, hip-hop/rap, hardcore rap, east coast rap, insights_high_priority_artists",1614659,4995514,5631555,23591,2334869,,166855382,360921,9092609,,,,,10,113286,11329,284494780,28449478,3301478,717741.32,21.74,62341,207568,355000,160176,45.12,7596
Faith Evans,US,"r&b, urban contemporary, hip pop, hip-hop/rap, r&b/soul, contemporary r&b, insights_high_priority_artists",1517983,4073618,1170128,468,646899,,238354969,154867,4207106,,,,,10,1471479,147148,2566814467,256681447,2220492,401020.86,18.06,11605,207401,335000,119327,35.62,10077
Zoe Wees,DE,"german pop, dance, pop, electronic",404305,7484236,51665,2167,5980,10,260583683,,,2500000,1649500,65.98,12276,10,946360,94636,1133294454,113329445,337255,195742.8,58.04,6001,1679272,616000,375821.6,61.01,1084
TOOL,US,"rock, alternative metal, nu metal, art rock, progressive rock, progressive metal, metal, dance, sony_high_priority_artists",3187698,4018822,3288253,7500,369699,,933931310,,,,,,,10,32,3,16498,1650,1061436,252621.77,23.8,55669,191933,1290000,466851,36.19,108958
Raw Alejandro,,"hip-hop/rap, reggae",,,,,,,11395753619,,,,,,,1,2383,2383,3702962,3702962,,,,,1379317,12800000,9346560,73.02,24026
Lucenzo,PT,"reggaeton, francoton, portuguese pop, dance, pop, latino, latin, latin pop, latin dance",133764,3830179,915785,29,46562,,216354046,332809,9415079,,,,,10,216546,21655,1792231020,179223102,20295,6829.27,33.65,522,3793,264000,147628.8,55.92,21092
Matchbox Twenty,US,"post-grunge, neo mellow, pop rock, rock, pop, pop/rock, alternative, insights_high_priority_artists",2363625,6565967,2583069,21462,146349,,734336747,405556,12293610,101500,11002.6,10.84,2884,10,60137,6014,90476807,9047681,235158,40870.46,17.38,4490,411,688000,263916.8,38.36,1194
LiL CaKe,AR,"trap argentino, trap triste, hip-hop/rap, hip-hop",124632,10316860,,,,,208973661,,,545500,432745.15,79.33,353692,10,1718067,171807,1985781520,198578152,256716,197568.63,76.96,35144,1408548,531000,405206.1,76.31,43684
Boosie Badazz,US,"southern hip hop, dirty south rap, memphis hip hop, trap, hip-hop/rap, gangsta rap, dirty south, baton rouge rap, insights_high_priority_artists",2233265,1844147,6840240,100146,1254722,,1282517360,1427448,30490508,,,,,10,206647,20665,294519344,29451934,,,,,108885,2060000,1045862,50.77,10280
SCH,FR,"french hip hop, rap marseille, pop urbaine, rap francais, hip-hop/rap, france",1910064,4944940,1445071,230,1009659,,1495939978,,,766400,544144,71,257495,10,1082729,108273,1030992146,103099215,1882221,924735.18,49.13,198744,5422,2840000,1962724,69.11,70881
Garry Sandhu,CA,"desi pop, punjabi pop, world, indian, regional indian, indian pop",3588403,6553497,3252211,199,15113,,,1641288,48245362,,,,,10,7931600,793160,739352073,73935207,4186325,1391534.43,33.24,624057,,,,,
Bachan,,"pop, hip-hop/rap, electronic",88,151,,,,,,5620754,118187286,,,,,2,126,63,32664,16332,,,,,,,,,
Sheena Melwani,CA,others,,,1215697,170379,,,1184255366,,,9500000,4548600,47.88,100947,0,0,,0,,1819825,373610.07,20.53,51771,9471851,1740000,836766,48.09,39159
bonnadol,,"thai pop, hip-hop/rap, hip-hop, pop, thai viral pop",38532,263503,,,,,,,,,,,,10,3876186,387619,796189413,79618941,,,,,,,,,
Hungria,BR,"brazilian hip hop, rap df, hip-hop/rap, brazilian",8914308,4830648,7661283,31257,177651,,4585130306,,,1900000,997310,52.49,10317,10,499000,49900,301097386,30109739,10077611,4931982.82,48.94,224332,64067,13100000,9132010,69.71,15791
K CAMP,US,"southern hip hop, trap, melodic rap, atl hip hop, hip-hop/rap, insights_high_priority_artists",1603943,2325998,1143394,1753,269846,,1215038254,457007,12913832,83100,46901.64,56.44,2489,10,16042800,1604280,6075969713,607596971,1154588,419808.2,36.36,11612,4617,1940000,1268372,65.38,910
Anu Malik,IN,"filmi, modern bollywood, soundtrack, indian, bollywood, pop, insights_high_priority_artists, soundtracks",3639061,11784935,798662,222,60550,,48622476,1310287,30366396,,,,,10,1772300,177230,762160044,76216004,197699,71646.12,36.24,1941,442281,41500,20501,49.4,1
Pretenders,US,"rock, permanent wave, album rock, classic rock, mellow gold, soft rock, new wave, new wave pop, new romantic, pop, pop/rock, insights_high_priority_artists",1391384,5014798,270963,30687,13447,,67345075,130990,3229885,,,,,10,35302,3530,51665005,5166500,34125,4784.33,14.02,1131,,,,,
Alvaro Soler,ES,"latin pop, pop, latin, latino, pop in spanish, insights_high_priority_artists",1714234,6981343,504878,173,74550,,2074737091,620063,17137557,1300000,1093170,84.09,8832,10,790989,79099,319350133,31935013,1199096,613217.69,51.14,16711,5247,3670000,2384766,64.98,1994
Vengaboys,NL,"europop, eurodance, dance, pop, electronic, house",411531,5318660,341066,1166,,,1125022405,696383,16123298,378700,203740.6,53.8,24488,10,3348900,334890,4271185780,427118578,112440,27795.17,24.72,3537,126,1770000,786234,44.42,2581
Ashe,US,"indie poptimism, alt z, pop, electronic, alternative, hip-hop/rap",1424519,10689492,187644,132,654981,,254108100,202410,4978022,1300000,1004640,77.28,14724,10,725154,72515,1268375768,126837577,1072850,759685.09,70.81,77241,213758,714000,556848.6,77.99,1211
Mohamed Riadh,,others,113,2101,,,,,,,,,,,,3,1542228,514076,388333296,129444432,,,,,,,,,
Gustixa,LA,"dance, pop, electronic, indonesian viral pop",128401,2100767,,,688,,181649208,,,,,,,10,2065771,206577,1479583048,147958305,43434,28301.59,65.16,5651,3733128,926000,747652.4,80.74,1036
Jawsh 685,NZ,"nz pop, pop, reggae, hip-hop/rap, sony_high_priority_artists",111475,5168862,9122,2,6136,,158998236,,,267800,179265.32,66.94,23581,10,49861600,4986160,14335684841,1433568484,63188,34241.58,54.19,2537,3654834,242000,159792.6,66.03,1474
Cypress Hill,US,"hip hop, west coast rap, gangster rap, rap rock, chicano rap, rap, hardcore hip hop, east coast hip hop, rock, hip-hop/rap, latin rap, insights_high_priority_artists",1836229,6298275,4911181,11230,226401,,1068123032,563577,15446758,340400,209482.16,61.54,12118,10,359587,35959,397708473,39770847,2295576,638629.24,27.82,2950,24,1580000,733278,46.41,455
Gloria Gaynor,US,"disco, soft rock, dance, pop, r&b/soul, electronic",928565,7400803,339350,1539,,,334407812,376706,10970974,92500,46555.25,50.33,4280,10,328914,32891,487602166,48760217,99624,22873.67,22.96,3646,294,27100,12731.58,46.98,270
MIKA,GB,"dance pop, pop rock, europop, rock, dance, pop, singer/songwriter, insights_high_priority_artists",1326733,7182295,2666243,10789,1289646,,1110212030,313715,9508169,519700,348770.67,67.11,12694,10,199622,19962,118949052,11894905,1560759,663322.57,42.5,28607,2804,1960000,1344168,68.58,1097
Billy Currington,US,"country, contemporary country, country road, honky tonk, insights_high_priority_artists",2561735,5891092,2058175,2514,577089,,669440960,349685,9454078,,,,,10,90824,9082,160268141,16026814,221591,66787.53,30.14,2078,1768,610000,285846,46.86,11635
Steely Dan,US,"rock, album rock, classic rock, mellow gold, folk rock, soft rock, country rock, yacht rock, pop",2013175,6103597,907092,76,,,214134896,260396,6137495,,,,,10,24872,2487,129286805,12928680,,,,,172267,190000,34029,17.91,0
Charlie Brown Jr.,BR,"brazilian rock, rock, world, brazilian, rock nacional brasileiro, rock alternativo brasileiro, latin, latin pop, latin rock, hard rock brasileiro",6374202,5554227,4089300,249,274204,,1055453663,963815,25011415,,,,,10,268455,26846,144695065,14469506,304,81.65,26.86,0,119985,2120000,1310160,61.8,1041
Marca MP,US,"norteno, corrido, sierreno, corridos tumbados, latin, latino, electronic, jazz, latin pop, musica mexicana, nueva musica mexicana, sad sierreno",1814235,7936702,216669,300,107771,,1527984884,,,628600,490748.02,78.07,37257,10,600300,60030,730231084,73023108,1166871,683319.66,58.56,33781,1530639,1210000,848694,70.14,10289
siilawy,JO,"middle east hip hop, alternative, r&b/soul, pop, hip-hop/rap",590421,436681,,,,,575913110,,,,,,,10,205190,20519,358404444,35840444,2871897,1842609.12,64.16,479814,4549281,2310000,1688841,73.11,453603
Sebastian Ingrosso,SE,"edm, electro house, progressive house, progressive electro house, dutch house, pop dance, dance, electronic, house, pop, insights_high_priority_artists",962610,4130307,529,1,1304934,,47205493,51743,1553405,,,,,10,14659,1466,55829512,5582951,1064219,435265.57,40.9,35590,2252,191000,119527.8,62.58,5436
PnB Rock,US,"r&b, rap, pop rap, vapor trap, trap, melodic rap, hip-hop/rap, pop, r&b/soul, insights_high_priority_artists",3881742,4676823,952991,1066,509164,,1021054871,,,236700,176791.23,74.69,42727,10,4433900,443390,5198657213,519865721,2874821,1490307.21,51.84,131576,132691,2260000,1652738,73.13,11150
Squeezie,FR,"chanson virale, pop, hip-hop/rap, rock",386362,422964,2333365,113,9422429,,9952743530,,,4900000,3770550,76.95,742360,10,175761,17576,564910940,56491094,8337832,5738929.77,68.83,689500,775765,18100000,12740590,70.39,381644
Lily Allen,GB,"pop, dance pop, rock, pop/rock, insights_high_priority_artists",1995500,6757102,3476521,293,5068725,,744749020,185149,5270100,144700,91363.58,63.14,13392,10,876900,87690,1567659376,156765938,1601814,606927.32,37.89,19456,2615,1080000,680724,63.03,17017
112,US,"r&b, urban contemporary, boy band, atl hip hop, hip-hop/rap, r&b/soul, contemporary r&b, insights_high_priority_artists",1080829,3210656,157809,91,2860,,181208154,265036,7041010,,,,,10,357997,35800,431723589,43172359,161480,19232.27,11.91,459,897,153000,57543.3,37.61,2026
Sin Bandera,MX,"latin pop, latin arena pop, mexican pop, latino, pop latino, latin",5606438,8092225,3807369,4324,110438,,2239416832,1005875,28124245,348200,204950.52,58.86,112351,10,220507,22051,214191467,21419147,818494,305789.36,37.36,3828,1240,2740000,1742914,63.61,2342
New Order,GB,"synthpop, permanent wave, dance rock, new wave, uk post-punk, new romantic, post-punk, madchester, rock, pop, alternative, dance, insights_high_priority_artists",1956464,6083460,1689570,19741,183611,,336305059,302645,7918032,37500,18367.5,48.98,3487,10,94823,9482,662780039,66278004,365848,68962.35,18.85,4524,222,352000,98489.6,27.98,623
Rhove,IT,"italian hip hop, hip-hop/rap, trap italiana",489681,4131952,390,3,2209,,235509463,,,174100,142500.85,81.85,49452,10,696464,69646,764541268,76454127,630486,421921.23,66.92,124787,1611884,404000,255126,63.15,36521
Don't Hug Me I'm Scared,GB,"antiviral pop, soundtrack, karaoke, pop, comedy, soundtracks",98940,38643,61717,12,68479,,301007173,,,,,,,10,11505,1150,20214344,2021434,165408,85416.69,51.64,23206,5586,3240000,2182788,67.37,462838
Ohboyprince,US,"dwn trap, hip-hop/rap, r&b/soul, pop",8755,866924,30976,62,,,24122582,,,,,,,10,3583701,358370,2420720097,242072010,90191,44942.18,49.83,1805,214264,61300,38312.5,62.5,1288
Kany García,PR,"latin pop, puerto rican pop, latino, pop latino, latin",2187590,7644866,2038646,32242,503872,,1815850156,1398080,41090169,834200,352199.24,42.22,9266,10,1005700,100570,663834313,66383431,1599836,416277.33,26.02,18585,207060,2370000,1235007,52.11,4486
Ashish Chanchlani,IN,"indian, others",9227,33279,10407493,86117,,,4445375302,,,2800000,2084040,74.43,846819,0,0,,0,,14609897,7274267.72,49.79,1478341,,,,,
NAYEON,KR,"pop, dance, r&b/soul",1049236,3990661,,,,,5003140254,481760,13217896,,,,,10,2177292,217729,4183530274,418353027,11060139,7102821.27,64.22,1504936,9422380,16000000,12590400,78.69,121963
Hillsong UNITED,AU,"ccm, christian music, worship, world worship, christian & gospel, gospel, inspirational, christian, rock",3762923,5272849,7844267,1297,1173819,,1657373435,1003703,28353700,282200,175302.64,62.12,42377,10,143251,14325,176903321,17690332,2640397,917273.92,34.74,41108,2535,4760000,2624664,55.14,3828
Two Feet,US,"indie poptimism, modern rock, hip-hop/rap, alternative, pop, electronic",1823649,8536890,136064,52,41968,,636963821,,,716100,516379.71,72.11,2205,10,2477924,247792,3501556136,350155614,263525,149866.67,56.87,13510,206780,1580000,1137284,71.98,11689
Xand Avião,BR,"funk carioca, forro de favela, brazilian, arrocha, funk, latin, latin pop, latin rock",3156975,8110233,5356049,564,958055,,2989491350,,,726700,322291.45,44.35,3669,10,892169,89217,776025485,77602548,10030109,2810436.54,28.02,30698,607025,5660000,3019610,53.35,963
Im Karan,,"hip-hop/rap, r&b/soul",2789,1048455,,,,,,,,,,,,10,1297648,129765,75844228,7584423,,,,,,,,,
Kanii,US,"pop, hip-hop/rap, r&b/soul, insights_high_priority_artists",149108,7518232,89,5,,,28370044,,,318700,243773.63,76.49,26890,10,549562,54956,865270326,86527033,39638,24436.83,61.65,9156,6853428,85500,62397.9,72.98,1445
Tibo Inshape,FR,"chanson virale, hip-hop/rap",,,1147508,172584,1310557,,,,,9500000,7439450,78.31,87609,0,0,,0,,5165603,3354542.59,64.94,54391,,,,,
Lindsey Stirling,US,"bow pop, rock, pop, electronic, pop violin, classical, insights_high_priority_artists",2076669,2494297,4064144,6707,480950,,3756630501,643012,18129760,3900000,2244840,57.56,11387,10,503547,50355,2362318372,236231837,2320447,1062300.64,45.78,25119,4053,13600000,8185840,60.19,59271
MK,US,"house, pop dance, dance, electronic, hip-hop/rap, insights_high_priority_artists",272431,8706301,267037,241,153959,,134433099,96736,2939708,44500,28475.55,63.99,6554,10,45817,4582,244217067,24421707,277088,81269.91,29.33,8147,1751,159000,89628.3,56.37,161
Roop Kumar Rathod,IN,"filmi, desi hip hop, sufi, desi, pakistani pop, modern bollywood, soundtrack, indian, bollywood, indian hip-hop/rap, soundtracks",3397542,8493900,84061,35,1384,,2508047,3776389,101571422,,,,,10,290652,29065,282764181,28276418,114177,45259.76,39.64,2110,9298,43800,19140.6,43.7,148
Simple Plan,CA,"pop punk, modern rock, canadian rock, canadian punk, rock, pop, punk, neon pop punk, canadian pop punk, insights_high_priority_artists",3426235,7407375,8462580,23796,1015812,,1346908045,460177,13319500,1700000,980730,57.69,7333,10,3433171,343317,5608283302,560828330,741255,327115.83,44.13,9388,1232,1600000,1135840,70.99,624
Jeet Gannguli,IN,"filmi, desi, desi pop, modern bollywood, soundtrack, indian, bollywood, indian pop, west bengali pop, soundtracks",961017,10354911,1251417,7353,379945,,0,1428333,37826801,,,,,10,2575200,257520,522352389,52235239,142876,57093.25,39.96,2708,178284,76000,47743.2,62.82,1088
Waylon Jennings,US,"country, outlaw country, texas country, honky tonk",1322224,4492617,1972797,22949,11860,,319580210,411593,10287055,,,,,10,40003,4000,158382367,15838237,245309,45872.78,18.7,2574,598,253000,63401.8,25.06,5697
Jay Sean,US,"pop, dance pop, pop rap, rock, r&b/soul, dance, insights_high_priority_artists",1717049,7971956,5587291,443,1168197,,1043848489,844399,23149401,530800,314605.16,59.27,28871,10,1124690,112469,1244932958,124493296,582458,178698.11,30.68,5120,2073,1380000,890514,64.53,968
Naiara Azevedo,BR,"sertanejo, sertanejo universitario, funk carioca, sertanejo pop, brazilian, christian, latin, latin pop",7953027,6285783,7690308,7757,513054,,2898510642,114828,2495495,4300000,2230840,51.88,20313,10,445507,44551,223027177,22302718,8029654,2564671.49,31.94,35153,51763,7350000,4642995,63.17,4591
Hoobastank,US,"alternative metal, nu metal, post-grunge, funk metal, pop rock, rock, alternative, adult alternative, pop",2374740,9418487,2130489,1180,45246,,1126948,563125,16591232,110100,53772.84,48.84,113045,10,352505,35250,720598267,72059827,103731,32498.92,31.33,2468,1032,3143,1460.55,46.47,878
Axwell,SE,"edm, electro house, progressive house, progressive electro house, dutch house, pop dance, dance, electronic, house, pop, insights_high_priority_artists",1573832,4901934,1495720,59,1537407,,33901323,347418,11385727,2143,1174.58,54.81,149,10,380965,38096,178854455,17885446,1400244,580541.16,41.46,19047,2048,227000,131614.6,57.98,3123
Barry White,US,"disco, soul, quiet storm, r&b/soul, contemporary r&b",1721220,4434466,2491891,2079,2636,,1188424,376290,9196891,,,,,10,90132,9013,170767113,17076711,2573,564.52,21.94,332,284,232000,49346.4,21.27,61
Jatin-Lalit,IN,"filmi, chutney, classic bollywood, afghan pop, soundtrack, indian, bollywood, pop, soundtracks",197671,11555557,,,,,89266955,768838,17689705,,,,,10,3243600,324360,1311792163,131179216,28108,7530.13,26.79,2201,,,,,
Magic System,CI,"french pop, zouglou, afropop, world, african, afro-pop, african pop, insights_high_priority_artists",225406,3311278,1764656,4837,21159,,677145692,366811,8486393,,,,,10,965256,96526,969026994,96902699,41645,13230.62,31.77,300,1422,1030000,617588,59.96,15459
